image_stem,title,subheadline,author,body
"correo_2015-09-11_1","Guerra por Granadas","Hallazgo de 51 explosivos en Breña por efectivos de la Udx desata pugna entre bandas. Nacionalistas y fujimoristas se acusan mutuamente de armamento tampoco psicosocial.","NA","NA"
"correo_2015-09-11_1","James Rodríguez se lesiona y no jugará contra Perú","Baja en Colombia para eliminatorias","NA","NA"
"correo_2015-09-11_1","Santiago Magill: 'Me aburrí de hacer papeles de gay","Actor reaparece","NA","NA"
"correo_2015-09-11_1","El Perú se quedará sin petróleo en 15 años","NA","NA","NA"
"correo_2015-09-11_1","Legistlador Virgilio Acuña renuncia a Solidaridad","NA","NA","NA"
"correo_2016-10-11_16","Detienen fabricación del Galaxy Note 7","Su batería se recalienta","NA","Samsung ha suspendido temporalmente la producción de smartphone Galaxy Note 7, debido a los reportes de que los equipos se incendian y hieren a sus dueños. La marca surcoreana retiró del mercado unos 2.5 millones de unidades en todo el mundo el mes pasado porque las baterías defectuosas sobrecalentaban los teléfonos. Se suponía que los nuevos celulares de reemplazo resolverían el problema, pero algunos clientes han vendio reportando los mismos incidentes."
"correo_2016-10-11_16","Hillary Clinton saca 11 puntos de ventaja a Donald Trump","Estudio se hizo antes del debate","Correo|Agencias","Sondeo se reveló tras difusión del video del magnate donde hace comentarios misóginos. La candidata demócrata Hillary Clinton aumentó en 11 puntos su ventaja sobre Donald Trump, según un sondeo divulgado el lunes y realizado tras la publicación de un video de 2005 del aspirante republicano donde hace comentarios vulgares sobre mujeres. Clinton cuenta con el 46% de la intención de voto frente al 35% de Trump, según el sondeo realizado por la cadena NBC y el diario The Wall Street Jounral. La última encuesta publicada hace una semana mostraba que la exscretaria de Estado aventajaba en seis puntos a su rival. El estudio fue realizado de sábado a domingo, es decir, horas después de que se difundiera el video en cuestión. Partido lo abandona. La campaña de Donald Trump sufrió el lunes otro golpe cuando Paul Ryan, uno de los líderes del Partido Republicano sugirió que la victoria de Hillary Clinto es inevitable en las elecciones presidenciales del 8 de noviembre. Ryan afirmó en una teleconfeerencia con legisladores que no defendará ni hará campaña por Trump. Según la agencia AFP, Ryan no llegó a retirar su apoyo a la candidatura de Trump, con quien desde el inicio de la campaña mantiene una relación evidentemente tensa. Posdebate. Trump y Clinton volvieron al ruedo de la campaña tras un virulento debate en el que la aspirante demócrata habría salido mejor parada que el republicano. Apenas cuatro semanas de los comicios, los candidatos viajaron a estados clave para la elección: Trump se dirigió a Pensilvania y Clinto a Michigan y Ohio para cortejar a los votantes. 'Ella encabeza las encuestas y probablemente no sufrió ningún daño esta noche', declaró a la agencia AFP Steven Smith, profesor de Ciencias Políticas en la Universidad de Washington. 'No vi suficiente esta noche para darle vuelta a la campaña de Trump', afirmó Dante Scala, profesor de Ciencia Política en la Universidad de New Hampshire. Trump retomó el lunes sus atques contra Bill Clinton, esposo de su rival Hillary Clinton, al calificarlo de 'depredador sexual'. 17 millones de tuits generó el segundo debate entre Clinton y Trump. Fue el más tuiteado de la historia."
"correo_2016-10-11_16","Fiscalía de Brasil denunció a Lula da Silva por tráfico de influencias","Acusaciones contra exmandatario no cesan.","NA","La Fiscalía de Brasil denunció el lunes al expresidente Lula da Silva por tráfico de influencias entre 2011 y 2015 al beneficiar a la constructora Odebrecht en la obtención de contratos en Angola. Lula, que presidió Brasil entre 2003 y 2010, también fue acusado de cometer delitos de corrupción, lavado de dinero y organización delictiva en este caso, que investiga negocios financiados por el banco de fomento BNDES en el país africano. Según la Fiscalía, Lula actuó 'ante el BNDES y otros organismos con el propósito de garantizar la liberación de financiamientos por parte del banco público para la realización de obras de ingeniería en Angola', que realizó Odebrecht. En contrapartida, Odebrecht distribuyó a los involucrados, de forma disimulada, valores que actualizados superan los 9.3 millones de dólares"
"correo_2016-10-11_16","Putin: EE.UU. traba ayuda humanitaria en Siria","NA","NA","El presidente ruso, Vladímir Putin, declaró el lunes que la falta de seguridad es el principal problema para llevar ayuda humanitaria a la ciudad siria de Alepo y aseguró que Estados Unidos 'no quiere o no puede' aceptar su propuesta de que tanto el Ejército como la oposición siria se retiren de la ruta de acceso. 'El principal problema es facilitar la seguridad mientras se envía ayuda humanitaria. Hemos propuesto que tanto el Ejécito sirio como la oposición se retiren de la carretera de Castello. Hemos propuesto esto a los estadounidenses. Pero, o no lo quieren, o no pueden', afirmó Ptin desde de Estambul. La carretera de Castello es la única por la cual puede transitar la ayuda humanitaria hacia el sector oriental de Alepo, controlado por los rebeldes."
"correo_2020-04-23_9","La curva ascendente","Editorial","NA","Mientras el presidente Martín Vizcarra encabezaba una sesión del Consejo de Ministros con el objetivo de tomar nuevas acciones para contener el coronavirus, el Ministerio de Salud anunciaba cifras puras y duras sobre esta enfermedad en el país. Por ejemplo, en un día la cantidad de contagiados fue de más de mil 400. Esto ha originado que los médicos sostengan que estamos en la curva ascendente y que será peligroso terminar la cuarentena el 26 de abril. Otros precisaron que el pico de contagios se dará justamente ese día. Ante este panorama, el Colegio Médico del Perú recomendó al Gobierno que amplíe la cuarentena dos semanas más. Es evidente que su intención es llamar la atención acerca de las alternativas que se necesitan para hacerle frente a la pandemia. En las próximas horas el Jefe de estado deberá tomar medidas al repsecto y esperamos que sean las más efectivas. Es evidente que el Estado no ha podido cumplir sus funciones básicas desde hace mucho tiempo. Vemos ahora que la historia de los fracasos económicos, políticos y sociales de tantos gobiernos nos ha dejado este triste legado de tantas carencias en el sistema de saludo, por ejemplo. Si la gente cuestiona al Estado por su inoperancia, reconozcamos que se ha ganado sus culpas."
