image_stem,title,subheadline,author,body
Elcomercio_2015-04-23_1,"Barcelona, Real Madrid, Juventus y Bayern siguen en la lucha por la Champions","Mañana, a las 5:00 a.m., será el sorteo para definir las dos llaves que decidirán a los finalistas.",NA,NA
Elcomercio_2015-04-23_1,Orlandini va segundo en el Mundial de Cross Country,NA,NA,NA
Elcomercio_2015-04-23_1,Presentan denuncia constitucional contra fujimoristas,Tras destape de El Comercio sobre viajeros frecuentes.,NA,NA
Elcomercio_2015-04-23_1,Protestas contra Tía María dejan un muerto y 22 heridos,CONFLICTO. El gobierno declararía hoy el estado de emergencia en Arequipa,NA,"Versiones. Mientras manifestantes afirman que Victoriano Huayna Nina (62) murió baleado por la policía, esta lo niega y dice que se accidentó. Restricciones. El régimen de excepción duraría 30 días y el Ejército podrá encargarse de mantener el orden en la zona."
Elcomercio_2015-04-23_1,Ramos Heredia no responde por las pasantías de fiscales,"Responsabilizó a ex gerente de la Escuela del Ministerio Público, a quien él había nombrado en el cargo. Secretaría personal y otros trabajadores administrativos participaron en los viajes.",NA,NA
Elcomercio_2015-04-23_1,"Velarde: ""Se necesita liderazgo político""","Es requisito para impulsar la economía, afirma.",NA,NA
Elcomercio_2015-04-23_1,"Lima, epicentro del arte contemporáneo",Art Lima y ParC en marcha,NA,Raras veces nuestra ciudad vive una efervescencia cultural de tal magnitud. Las más importantes galerías del mundo y reputados artistas de nuestra época se dan cita para participar en dos ferias internacionales: la Art Lima en Chorrillos y ParC en Barranco.
Elcomercio_2015-04-23_1,Narcos colombianos pagaban fiestas a los agentes de la DEA,"Pese al escándalo, solo recibieron 10 días de suspensión.",NA,NA
Elcomercio_2015-04-23_1,Investigan a seis personas vinculadas con la red de Oropeza,La mayoría de implicados tiene antecedentes por narcotráfico.,NA,NA
Elcomercio_2015-04-23_1,Informalidad laboral juvenil es de las más altas en la región,"El Perú está al nivel de Paraguay, Guatemala y Honduras.",NA,NA
Elcomercio_2015-04-23_1,Información apanada,Editorial,NA,Las disposiciones de la ley de la comida chatarra limitan las opciones y el conocimiento de los consumidores.
Elcomercio_2015-05-19_38,FKA Twigs,"""Resulta muy duro [recibir críticas por estar con Robert Pattinson], pero merece la pena soportarlo, pues estoy feliz con él"".",NA,NA
Elcomercio_2015-05-19_38,Abre hotel en Asia,Robert de Niro,NA,"Como dueño de la cadena de hoteles Nobu, el actor inauguró su primer local en Asia. Este es el primer paso de la extensión internacional de la marca de lujo."
