image_stem,title,subheadline,author,body
Gestion_2013-08-22_32,"Inglaterra, Italia y Francia desarman a clubes españoles","En plena crisis económica, los clubes de la liga española han hallado en la venta de jugadores un respiro. Se ha exportado un total de 432 futbolistas a 25 países.",Nancy Portugal Prado,"Albiol, Higuaín y Abdel Barrada son algunas de las estrellas del balompié cuyas partidas les dejarán a los clubes de la liga española ingresos para mantenerse a flote en plena crisis. Hoy es el país que más ganancias genera por venta de jugadores. Y no es para menos. Después de ganar la última Copa del Mundo, el 'know how' español sobre el fútbol se ha convertido en un objeto de deseo para los clubes del mundo. Según un estudio de la Fundación Marcet, el fútbol español exportó 432 jugadores a las ligas de 25 países en el último año. El mercado predilecto. Cuando la selección española triunfa, los clubes de la Premier League ponen atención. Y es que la liga inglesa se ha convertido en su principal mercado. Solo durante esta temporada, se han incorporado 14 jugadores españoles a las filas inglesas. Joel (Everton), Adrián (West Ham), Muniesa (Stoke), Amat (Swansea), Luna (Aston Villa) y Javi Venta (Brentford), entre otros, se alistan para formar parte de la liga inglesa. Sus traspasos están valorizados en US$136 millones. Italia y Francia. Está claro que la Premier League es la que más jugadores de la liga española ha fichado; sin embargo, la liga francesa es la que ha efectuado el traspaso más importante. La adquisición de los derechos del colombiano Radamel Falcao, que dejó el Atlético de Madrid por el Mónaco a cambio de US$80 millones, es la compra más importante que se le ha hecho a España. No es el único futbolista del juego español sobre el cual el Mónaco muestra interés. En las últimas semanas, el equipo francés negoció con el FC Barcelona el fichaje de Erick Abidal. Otro país interesado en fichar talento desde la liga española es Italia. El delantero argentino Gonzalo Higuaín salió del Real Madrid hacia el Nápoles, que también integró a sus filas a los españoles Raúl Albiol (Real Madrid), José María Callejón (Real Madrid) y Pepe Reina (Liverpool)."
Gestion_2013-08-22_32,El efecto Pep Guardiola se multiplica por toda Europa,NA,NA,"Son 120 los técnicos españoles que trabajan fuera de su país, según la Fundación Marcet. El caso más conocido quizá sea el de Txiki Begiristain, que fue fichado por el Manchester City antes que terminara el 2012. El éxito del fútbol español ha hecho que también se exporten entrenadores a todos los lugares. Desde Pep Guardiola en la Bundesliga, pasando por Rafa Benítez en Italia, Michel en Grecia, Garrido y Víctor Fernández en Bélgica, o Roberto Martínez en el Reino Unido. El técnico del Everton es el caso más llamativo, porque fue pionero en llegar al fútbol británico, en el año 1995, y ha visto en primera persona el cambio de la percepción sobre la liga española en el mundo."
Gestion_2013-08-22_32,Las claves,NA,NA,"Lationamérica. Según un informe de Euromericas Sport Marketing, Argentina es la mayor exportadora de jugadores de Latinoamérica, con un total de 1,922 jugadores. Le sigue Brasil, con 1,234. Negocio. Este año, el país gaucho movió más de US$ 228 millones en transferencia de jugadores. Fichajes. Los clubes franceses (Ligue 1) han invertido un total de US$ 422 millones en compra de jugadores durante este año."
Gestion_2013-08-22_32,En corto,NA,NA,"Formación. El fenómeno educativo deportivo es una de las ventajas de España. La Fundación Marcet, que alberga a varias escuelas especializadas en balompié, ha formado a más de un millón de jóvenes y a más de 3 mil entrenadores en todo el mundo desde hace más de 35 años."
Gestion_2015-01-30_1,Gasolinas serán 15% más baratas desde marzo,Bajaron precios del balón de GLP en 1.7% y del diesel en 5%,NA,"Asociación de Grifos y Estaciones de Servicio estima que podrán costar S/.3 menos por galón al final del verano. Los grifos ya han trasladado toda la rebaja dada por las refinerías a la fecha, sostuvo Renzo Lercari, presidente de la asociación que los agrupa. Sin embargo, evitó responder sobre los márgenes de ganancia de las estaciones de servicio. Durante la jornada de ayer, la cotización del petróleo tuvo una alza luego que el crudo estadounidense tocara un mínimo de seis años."
Gestion_2015-01-30_1,"Gálvez dirigirá SNMPE, pero afronta tormenta",Hay malestar entre algunas empresas que conforman el comité eléctrico.,NA,NA
Gestion_2015-01-30_1,Buenaventura planea emisión de bonos,"Sería para su expansión, pero dependerá de condiciones de mercado.",NA,NA
Gestion_2015-01-30_1,Las 8 grandes mineras en la mira de la Sunat,Medidas que rigen este año preparan camino para acotaciones millonarias.,NA,NA
Gestion_2015-01-30_1,Oposición presenta el lunes censura a Jara,Presidente apoyo a premier. Perú Posible pone condiciones.,NA,NA
Gestion_2015-01-30_1,Obra de Gasoducto del Sur con avance del 9%,Odebrecht contempla participar en proyecto de petroquímica en Matarani.,NA,NA
