image_stem,title,subheadline,author,body
Peru21_2015-06-17_18,La Receta,Torrejas de zanahoria con dip de yogur y queso,Hirka Roca Rey,"Preparación: En un bol, mezcle los huevos, la zanahoria, el culantro y la harina. Sazone con sal y pimienta, y divida la preparación en cuatro porciones. En una sartén a fuego medio, caliente dos cucharadas de aceite y fría las porciones de la mezcla durante tres a cinco minutos por lado hasta que estén doradas por fuera y cocidas en su interior. Retire del fuego y reserve. Licúe el yogur con los quesos y sazone con sal y pimienta. Aparte, mezcle los berros, la arúgula, el jugo de limón y el aceite restante. Sazone con sal y pimienta. Sirva las torrejas de zanahoria y acompañe con la ensalada y el dip de yogur y queso. Ingredientes: 4 huevos ligeramente batidos, 8 zanahorias ralladas, 1/4 tz. culantro picado, 1/4 tz. harina sin preparar, 3 cdas. aceite de oliva, 1 tz. yogur natural, 50 g queso azul o queso fresco serrano, 50 g queso crema, ½ tz. berros, ½ tz. hojas de arúgula, 1 cda. jugo de limón, sal y pimienta."
Peru21_2016-05-13_2,Fortalezas y debilidades de los candidatos en segunda vuelta,"Pulso Perú. Las promesas electorales de PPK y de Fujimori reciben amplio respaldo. El 50% cree que la segunda vuelta es una elección de ataques. La primera dama, Nadine Heredia, recibe solo el 6% de aprobación.",Carlos Castillo,"La última encuesta de Pulso Perú, elaborada por Datum Internacional para Perú21 y Gestión, analiza no solo la intención de voto que tienen los candidatos Pedro Pablo Kuczynski y Keiko Fujimori con miras a la segunda vuelta electoral. También nos presenta las fortalezas y debilidades de ambos, es decir, los puntos positivos y negativos que perciben los electores. Según se observa, el 47% de los consultados ve a Fujimori más identificada con los pobres, mientras que el 45% identifica más a Kuczynski con los ricos. En tanto, el 42% piensa que PPK genera más confianza que su contendora. Un punto de fortaleza para ambos son sus propuestas. La promesa de PPK para acumular penas de cárcel por los diferentes delitos y la de Fujimori para castigar con pena de muerte a los violadores de menores de siete años tienen 85% de respaldo. La posición de la candidata de Fuerza Popular respecto del aborto y de la unión civil tiene el apoyo del 58%, mientras que el 58% cree que el apoyo de César Acuña le sumará votos a Kuczynski. Nadine seis puntos. De otro lado, la popularidad de la primera dama, Nadine Heredia, llegó al nivel más bajo de aprobación: seis puntos, cayendo tres respecto del mes anterior y 24 puntos respecto de mayo del 2015. Su desaprobación creció a 88%."
Peru21_2016-05-13_2,Planes son bien aceptados,Análisis,Urpi Torrado,"“Estamos viendo que los electores están encasillando a los candidatos a los extremos, y la clase media no se siente identificada con ninguno de los candidatos. En la anterior edición de Pulso Perú señalamos que el sector que puede definir esta elección es la clase media, en la medida en que pueda identificarse con uno de los dos. Parece que este sector está a la espera de propuestas concretas para sus necesidades. También se ve que las propuestas que presentan los candidatos son bien aceptadas, gozan de popularidad. No hay ninguna propuesta que la población la califique de mala. Todas tienen alto nivel de aprobación y en eso no se diferencian ni Kuczynski ni Fujimori. Los problemas que han pasado los candidatos (conflictos entre los hermanos Fujimori y viaje de PPK) no les ha restado votos, por el contrario, ha disminuido el nivel de indecisos. De otro lado, la imagen de Nadine Heredia es la más baja entre todas las primeras damas que ha tenido el Perú. El presidente se recupera."
Peru21_2017-05-20_1,NA,Informe.21 Víctimas de accidentes de tránsito,NA,NA
Peru21_2017-05-20_1,No da la cara,"Ollanta Humala llegó al Congreso, pero no ingresó a Comisión de Defensa.",NA,NA
Peru21_2017-05-20_1,Keiko Fujimori presentó hábeas corpus,Para liberar a su padre,NA,NA
Peru21_2017-05-20_1,Empresario admite que atropelló y mató a tres,Accidente en la Costa Verde,NA,NA
Peru21_2017-05-20_1,Ricardo Gareca presenta lista de convocados,Para amistosos,NA,NA
Peru21_2017-06-21_28,Vienen para el homenaje,"Charly Alberti aseguró que estará en nuestro país, con Zeta Bosio, para el espectáculo del Cirque du Soleil, que rendirá tributo a Soda Stereo.",NA,"El escenario del Cirque du Soleil quedó listo para el homenaje a la banda argentina Soda Stereo con el espectáculo Séptimo Día - No Descansaré, que se estrenará este viernes en el Jockey Club. Para ello, los cantantes Charly Alberti y Zeta Bosio llegarán a nuestro país. 'Sí, vamos a estar en Lima con Zeta Bosio', dijo Alberti en diálogo por Facebook con Perú21. También, el ex baterista de Soda Stereo lamentó que el show no se hubiera llevado a cabo en las fechas pactadas. 'Estamos apenados por todo lo que sucedió con el traslado de los equipos (de Argentina al Perú), pero realmente no podemos luchar con la naturaleza. Por eso se demoró un poquito', señaló. Para esta presentación del Cirque du Soleil, el director de operaciones, Patrick Flynn, contó días atrás que será un escenario impresionante. 'Tendrá 72 metros de ancho por 82 de largo, con 2,300 metros cuadrados bajo tela. La elección de la música de Soda Stereo fue una colaboración entre varias partes. Tuvimos la idea de celebrar y homenajear a una banda emblemática', precisó."
Peru21_2017-06-21_28,Day-Lewis se retira de la actuación,Actor británico,NA,"El británico Daniel Day-Lewis anunció que se retirará del mundo de la actuación. 'Daniel Day-Lewis no trabajará más como actor. Está inmensamente agradecido al público. Esta es una decisión personal', indicó la representante del artista, Leslee Dart, a la revista Variety. La última película de Day-Lewis, de 60 años, será Phantom Thread, que trata sobre la moda. Recordemos que el artista ganó tres premios Oscar como Mejor Actor con Mi pie izquierdo (1989), Petróleo sangriento (2007) y Lincoln (2013)."
