image_stem,title,subheadline,author,body
Publimetro_2013-08-14_12,El final de 'Breaking Bad' en la voz de su creador,"La exitosa serie acaba de estrenar su última temporada en EE.UU. y pronto se verá en el Perú vía AXN. Para Vince Gilligan, el genio detrás de la historia, el final será apoteósico",Ned Ehrbar,"Vince Gilligan tiene problemas al hablar las cosas en pasado. 'Digo todo en presente porque el pasado es ahora, y eso me entristece', nos dice con una sonrisa al referirse a Breaking Bad, cuya temporada final ya se ve en Estados Unidos. Pero ¿qué nos puede decir Gilligan sobre el esperado desenlace de la serie? Aquí, algunas pistas. 1. Un final de pie. 'Mucha gente discutía mi decisión de terminar la serie. Hubiera querido que siguiera para siempre por razones de satisfacción creativa y personal, pero quería que terminara de pie y que no pasara de su fecha de caducidad'. 2. ¿Todos los personajes terminan mal? 'Solo puedo asegurarte que ni los guionistas ni yo vamos a castigar a ningún personaje. Lo que queremos es satisfacer a todos de la mejor manera posible. No puedo decirte si será un final feliz o triste, pero prometo que todos se emocionarán cuando se termine. Será apoteósico. Siento que es un final apropiado'. 3. El guion final lo hizo llorar. 'Lloré porque sabía que eso era todo, que ahí quedaba. No voy a volver a escribir de estos personajes. Fueron seis años de batallas, miles de horas de trabajo y emociones. Estuve y estoy triste, sin duda'. 4. El final original se desechó hace tiempo. 'Me sorprende cómo algunos autores ya saben cómo va a terminar la historia que tienen para la TV. Tuve ideas desde el principio, pero luego las hice a un lado. Ahora, al escribir los últimos episodios, manejamos muchas posibilidades porque no queríamos dejar ningún cabo suelto'. 5. No habrá película. 'Me parece maravilloso que hagan versiones de películas de algunas series. Pero creo que para Breaking Bad sería injusto. Estamos dejando todo resuelto con estos últimos episodios'. 6. Hay miedo a lo que diga la crítica. 'Sí, sin duda. Tengo una fobia a googlearme a mí mismo', afirma. 'Me mantengo alejado porque conozco mis debilidades y sé que puedo sucumbir ante las críticas'. 7. ¿Por qué algunos televidentes sienten la segunda mitad de la temporada 5 como una temporada 6? 'Creo que el público puede llamarlo como quiera. Yo, en lo personal, veo cada episodio no como temporadas, sino como piezas de una historia que espero vean en el futuro'. 8. No quiso hacerse un tatuaje conmemorativo de la serie junto a los protagonistas Bryan Cranston y Aaron Paul. 'No soy un hombre de tatuajes. Ellos sí se hicieron uno, pero no es lo mío. No es por miedo a las agujas ni al dolor; en realidad, no hay una razón'."
Publimetro_2013-08-14_12,Charlatans de luto,NA,NA,"El baterista de la banda indie británica The Charlatans, Jon Brookes, falleció ayer a los 44 años debido a un tumor cerebral. 'Estamos destrozados. Nuestro amor y nuestros pensamientos están con su familia', escribió en Twitter Tim Burgess, líder del grupo, que se formó en 1989."
Publimetro_2014-01-20_1,Promesas de nuestra música para el 2014,Alejandro y María Laura entre los nombres que se vienen,NA,NA
Publimetro_2014-01-20_1,Tranquilidad a una semana del fallo de La Haya,"Hoy se reúnen Ollanta Humala, Alan García y Alejandro Toledo. Los tres líderes buscarán bajar los niveles de crispación política local. Al otro lado de la frontera, en Arica, reina la calma. Vecinos del sur esperan que relaciones con Tacna sigan con 'absoluta normalidad'.",NA,NA
Publimetro_2014-01-20_1,"'Tato' Heinrich en el Dakar, meta cumplida",NA,NA,NA
Publimetro_2014-01-20_1,Gastón Acurio le pondrá sabor a Davos,Chef participará en tres sesiones del Foro Económico Mundial en Suiza.,NA,NA
Publimetro_2014-01-20_1,"Hoy es el Blue Monday, el día más triste","Lo sufren en el Hemisferio Norte: se juntan el mal clima, las deudas vencidas que dejaron las fiestas de fin de año y el inicio de una nueva semana laboral.",NA,NA
Publimetro_2014-01-20_1,San Isidro teme caos en Av. Arequipa,Concejo distrital se opone a propuesta que estudia la Municipalidad de Lima de reservar esta vía para el transporte público.,NA,NA
Publimetro_2014-01-20_1,Guerrero abre el año con Corinthians,Delantero peruano fue titular en victoria sobre Portuguesa en el inicio del Torneo Paulista.,NA,NA
Publimetro_2015-04-15_1,Inés Melchor va por el oro en Panamericanos,"Tras ganar maratón de Chile, se prepara para Juegos de Toronto",NA,NA
Publimetro_2015-04-15_1,'No tenemos la educación que nos corresponde',Ministro Saavedra reclama más inversión en su sector. 40% de escuelas no tiene agua ni desagüe. La mitad de escolares estudia en colegios sin Internet. Brechas son muy grandes entre la ciudad y el campo.,NA,NA
Publimetro_2015-04-15_1,Trompos que cambian vidas,La actriz Cécica Bernasconi juega con uno de los trompos en subasta a favor de las actividades de Puckllay.,NA,NA
Publimetro_2015-04-15_1,La canciller Sánchez asume cargo,Anunció que trabajará para fortalecer 'confianza mutua' con los países vecinos y lograr la eliminación de la visa Schengen.,NA,NA
Publimetro_2015-04-15_1,Cateriano en Arequipa por Tía María,"Jefe del gabinete se presentó en mesas de diálogo en Islay junto a los ministros del Interior, Energía y Minas y Agricultura. Se comprometió a viajar para dialogar las veces que hiciera falta con el objetivo de sacar adelante este proyecto minero.",NA,NA
Publimetro_2015-04-15_1,Cristal falló al definir su clasificación,El campeón peruano quedó fuera de la Copa Libertadores al empatar 1-1 ante Guaraní. Hoy le toca al Aurich.,NA,NA
Publimetro_2015-11-13_20,¿Estás de acuerdo con la libre disposición de la AFP a los 65 años?,La pregunta del día,Luis Davelouis,"Solo en parte. Creo que si se ha llegado a un monto que pueda asegurar una pensión de jubilación decorosa para el afiliado, no se debería devolver el íntegro del fondo. Pero si el fondo acumulado no es suficiente para eso, sí se le debería dar la posibilidad de disponer de su dinero. El problema es cómo determinar ese número mágico. ¿Con cuánto al mes puede vivir una persona? Como referencia podríamos tomar el sueldo mínimo. Si la pensión resultante va a ser menor a los S/.750, entonces que se le dé todo su dinero. Con aproximados muy gruesos, solo para hacernos una idea general, para recibir una pensión de S/.1.000 mensuales se debe tener un fondo de alrededor de S/.180.000 a S/.200.000. Por otro lado, el hecho de que solo existan dos fórmulas de pensión —el retiro programado (que la AFP te pague hasta que tu fondo se acabe) o la renta vitalicia (a cargo de una compañía de seguros)— queda muy corto para las formas tan variadas que tenemos de trabajar en el Perú. Tenemos 40 regímenes laborales sin tocar la informalidad ni a los independientes."
Publimetro_2015-11-13_20,NA,Los lectores responden,Erick Ramírez,"Creo que debería revisarse cómo es la cultura de ahorro. Viendo eso, determinar si es conveniente dar todo el fondo o solo un porcentaje."
Publimetro_2015-11-13_20,NA,Los lectores responden,Luis Carnero,"Sí, así uno podrá tener acceso a ese dinero a los 65 años y usarlo para diversos fines. Ya dependerá de cada uno utilizarlo de manera inteligente."
Publimetro_2015-11-13_20,NA,Los lectores responden,Alik Cristhian Villena,Estoy de acuerdo con que se entregue mientras el fondo acumulado no te permita tener una pensión justa.
Publimetro_2016-04-25_5,Por qué aporto a Greenpeace,Opinión,Beto Cuevas,"¿Recuerdan a esas 30 personas de distintas nacionalidades encerradas en una cárcel en Rusia por detener las perforaciones en el Ártico? ¿Y ese activista interponiendo su cuerpo entre el arpón y una ballena para no permitir que la maten? Bueno, eso es Greenpeace. Más de 45 años de activismo medioambiental protegiendo la Tierra, siendo testigos de las agresiones ecológicas y utilizando la acción pacífica para denunciarlas y contárselas al mundo. Pero ¿cómo una organización se ha mantenido durante casi medio siglo enfrentando los crímenes contra el medio ambiente de parte de empresas, estados y grandes corporaciones con ese nivel de esfuerzo, persistencia y creatividad? Solo gracias a sus millones de donantes que les permiten resistir esas batallas sin depender política y económicamente de nadie. Sí. Porque Greenpeace es una organización totalmente independiente política y económicamente. ¿Qué significa esto? Que Greenpeace no recibe dinero de empresas, de partidos políticos ni de gobiernos. Solamente admite donaciones de personas naturales, de gente común. Todos sus donantes, con sus colaboraciones individuales, son el pilar de esta organización, sin el cual, el trabajo de Greenpeace no sería posible. Por eso yo me sumo a Greenpeace. Porque en estos 45 años, su coherencia a escala global ha construido una base sólida de tres millones de miembros en el mundo que se mantienen vivos y activos. Porque Greenpeace lo conformamos hombres y mujeres de diferentes lugares, edades, profesiones y condiciones sociales, con distintas formas de pensar y de ver el mundo. Sin embargo, quienes nos sumamos tenemos algo en común: formar parte de una organización de lucha pacífica contra los crímenes ambientales. La regla es: no hay tiempo que perder. Y esto es lo que los mueve, lo que nos hace apoyar esta organización. Esta gran cantidad de socios que con nuestros aportes permitimos que nadie condicione el discurso ni las campañas de Greenpeace. En Chile somos 20 mil donantes, aun así, nuestros recursos están muy por debajo de los gigantescos presupuestos que sostienen y financian los conflictos y problemas que intentan resolver solo en nuestro país. Por eso cada vez debemos ser más."
Publimetro_2016-04-25_5,¿Qué hace Greenpeace?,Activistas,NA,"Se trata de una reconocida ONG ambientalista formada en Vancouver, Canadá, en 1971 y que tiene presencia en más 55 países. Entre sus objetivos está la lucha contra el cambio climático, la defensa de los bosques y la protección de los océanos. Debido a su activismo, Greenpeace no ha estado exento de controversias. Una de ellas ocurrió en el Perú, cuando en diciembre del 2014 ingresaron a las líneas de Nasca, declarada como zona intangible, para dejar un mensaje."
