image_stem,title,subheadline,author,body
Trome_2014-05-04_1,'Melania es muy buena',Andrés Wiese lleva 3 años con 'La Monsefuana' y dice que disfrutan sin salir mucho de casa. 'Nicolás' no se siente un galán y tampoco piensa en el matrimonio,NA,NA
Trome_2014-05-04_1,Mata de 20 cuchillazos a su tía,Joven de 19 años afirma que ella lo acosaba sexualmente,NA,NA
Trome_2014-05-04_1,"'No voy a fiestas, ni pienso en enamorado'",Voleibolista Ángela Leyva se confiesa,NA,NA
Trome_2014-05-04_1,¡Gritalo Alianza!,Ganó 1-0 a Cristal y puntea. Hoy juega la 'U' con San Martín en el Callao,NA,NA
Trome_2014-10-07_32,Las malcriadas,Sharon y Dellanira Cumbiamberas,NA,"Estas preciosas criaturas se llaman Sharon y Dellanira, quienes integran la agrupación cumbiambera 'Las no muy santas', donde son el centro de atracción por sus espectaculares curvas y ritmo al bailar. Aunque son bellas y deseadas, afirman que están solitas, a la espera de su príncipe azul."
Trome_2014-10-07_32,'Piquitos' de El Búho,PicoTV,El Búho,"Este Búho, con la cabeza más fría, luego de las elecciones del domingo, escribe sus 'Piquitos' que la gente ya reclama. ¿Fin del Corredor Azul?: El flamante alcalde Luis Castañeda ya anunció que evaluará con sus técnicos la continuidad del Corredor Azul implementado por Susana Villarán. 'No funciona', afirmó ayer provocando dudas. ¿Mejorará el Corredor Azul o lo eliminará para el regreso de las combis y custer? Pero el transporte no es el único problema. La inseguridad ciudadana cada día es más grave y los vecinos de Lima exigen que se haga algo. El 'Mudo' prometió poner cámaras y fibra óptica en más de dos mil intersecciones de la capital e intercomunicarlas con las comisarías para aliviar la inseguridad y el problema del tránsito. Pero además, la población le exige transparencia. Lady Madeleine: Con propuestas interesantes, como el techado de una parte de la Vía Expresa, y una campaña audiovisual efectiva, Madeleine Osterling causó sensación, sobre todo en las redes sociales, en la carrera por llegar a la alcaldía de San Isidro. A punto estuvo de ganar, pero Manuel Velarde se impuso apenas por un punto y medio. En las redes bromean con que Osterling haría una marcha de protesta contra los resultados ¡¡en El Golf!! Cosa de locos: Es increíble que una autoridad como el presidente regional de Cajamarca, Gregorio Santos, que está en prisión por una orden preventiva de 14 meses por graves acusaciones de corrupción, haya postulado a la reelección y ganado con el 50% de los votos. Los indicios en su contra son abrumadores. Hace solo dos semanas se le incautaron otros cinco inmuebles en La Libertad. Santos no podrá asumir el cargo por estar preso, pero lo hará su vicepresidente, es decir, su hombre de confianza. 'Plata como cancha': César Acuña es un insólito personaje que fue grabado hablando con desparpajo de comprar 50 mil votos con dinero de la municipalidad de Trujillo, y diciéndole a sus correligionarios 'prepárense que vendrá plata como cancha'. Pese a todo, fue elegido presidente regional de La Libertad con más del 50% de los votos, derrotando al Apra en su bastión. Mauricio Mulder señaló que es complicado enfrentar a movimientos 'caudillescos' que manejan 'millones' de dudosa procedencia. Por eso, calificó a Acuña de 'un asco, ha prostituido la política', pues en sus mítines 'no hablaba nada, hacía sorteos y regalaba refrigeradoras y todo tipo de artefactos'. Increíble. No a la violencia: Al menos dos personas muertas, ocho heridos y más de 120 detenidos es el saldo inicial de la violencia desatada en casi todo el país por turbas en desacuerdo con los resultados de la elección del último domingo. La ONPE contabilizó 95 incidentes. ¿Qué nos está pasando? Si alguien no está de acuerdo, hay mecanismos legales para impugnar los resultados. Loreto, Tumbes, Lambayeque, Pucusana, Huarochirí, San Martín de Porres y decenas de lugares más han sido escenarios de esta insania. Novela colombiana: Pese a que esta historia comenzó hace diez meses, la bronca entre las hermanas Milena Zárate y Greisy Ulloa sigue acaparando el interés de la gente. El último sábado, ambas sostuvieron un 'tete a tete' en el programa de Magaly Medina, donde Milena tembló, lloró y gritó a su gusto reclamando a Greisy por su traición con el cómico Edwin Sierra. El show tuvo tanto éxito que hizo 'picos' de hasta 35,5 puntos y la 'Urraca' anuncia una segunda parte esta semana con el detrás de cámaras. Todo por el rating. Apago el televisor."
Trome_2019-12-23_20,Salto al vacío,"Cristiano Ronaldo terminó entre lágrimas y se quitó medalla de plata, tras perder la Supercopa de Italia ante la Lazio",NA,"Riad.- Esta vez no hubo vuelo y el aterrizaje fue forzoso. Hace unos días, Cristiano Ronaldo sorprendía al mundo al elevarse más de dos metros y medio desde el suelo, pero ayer se retiró entre lágrimas del campo tras perder la final de la Supercopa de Italia, que la Lazio le ganó 3 a 1 a la Juventus, en el estadio de la Universidad Rey Saúd, en Arabia Saudita. El español Luis Alberto adelantó al vigente campeón de la Copa Italia 2018-19, a los 16', mientras que el argentino Paulo Dybala puso la igualdad, a los 45', para el actual monarca de la Serie A, pero el bosnio Senad Lulic volvió a inclinar la balanza en favor de los romanos, a los 73'. La 'Vieja Señora' entonces se fue con todo en busca del empate y en los descuentos tuvo una inmejorable oportunidad para empatar. Falta a Juan Cuadrado al borde del área y tiro libre peligroso. 'CR7' se acerca, pero Dybala también y es la 'Joya' quien termina pateando, pero su remate se estrella en la barrera, no busca el rebote y los 'celestes' se lanzan en contragolpe, que es frenado con foul del uruguayo Rodrigo Bentancur, quien fue expulsado. Pelota parada esta vez a favor de Lazio y Danilo Cataldi decreta el 3-1 final. El portugués, por su parte, quedó al borde del llanto y no quiso ni recibir la medalla de plata, la que se quitó inmediatamente, masticando su bronca."
Trome_2019-12-23_20,Cero en todo,Madrid no pudo ganar y se alejó de la punta,NA,"Madrid.- Un año en blanco. El Real Madrid (2.° con 37) se despidió de un 2019 para el olvido, sin títulos, sin la punta de la Liga de España y sin goles, tras igualar ayer 0-0 en casa con el Athletic de Bilbao (7.° con 28) y quedarse a dos puntos del líder Barcelona (1.° con 39). Toni Kroos, Nacho Fernández y Luka Jovic estrenaron sendos remates en el poste, mientras que a Karim Benzema le sacaron un gol de la línea, con lo que los merengues se fueron de vacaciones con una nueva desazón."
Trome_2019-12-23_20,A pedir de Boca,Tapia ganó y lo quiere el Xeneize,NA,"Holanda.- Está pedido. Renato Tapia parece estar próximo a dejar la liga holandesa, pues al interés de Real Betis de España se habría sumado ahora el popular Boca Juniors, que lo viene siguiendo de cerca, según algunos medios argentinos. Ayer, el 'Cabezón' ingresó en el minuto 73' en el Feyenoord (5.° con 31), que se impuso 2-1 en casa del FC Utrecht (7.° con 29). Por su parte, el FC Emmen (14.° con 18), con Miguel Araujo y Sergio Peña, cayó 2-0 en el campo del FC Gröningen (10.° con 25)."
Trome_2019-12-23_20,Sufrió Moucho,Perdió clásico con su ex Chelsea,NA,"Londres.- No pudo con su ex. José Mourinho, actual técnico del Tottenham (7.° con 26), volvió a tener en frente al Chelsea (4.° con 32), con el que ganó varios títulos en el pasado, pero no le fue bien en el reencuentro y perdió 2-0 de local, en el derbi londinense por la fecha 18 de la Liga Premier. Un doblete del brasileño Willian (12' y 45', de penal) le propinó a 'Mou' su segunda derrota desde que se hizo cargo de los 'Spurs' en noviembre. Por otro lado, el Manchester United (8.° con 25) cayó 2-0 en campo del colero Watford (20.° con 12)."
