"";"newspaper";"year";"page_position";"scale";"date";"edition";"page_number";"page_url";"image_url";"image_path"
"1";"correo";"2020";"interior";"80";2020-04-23;"default";9;"https://t.prcdn.co/img?file=eagb2020042300000000001001&page=9&scale=80";"https://t.prcdn.co/img?file=eagb2020042300000000001001&page=9&scale=80";"data/raw/images/correo/2020/04/23/correo_2020-04-23_9.jpg"
"2";"correo";"2025";"interior";"78";2025-08-04;"default";10;"https://t.prcdn.co/img?file=eagb2025080400000000001001&page=10&scale=78";"https://t.prcdn.co/img?file=eagb2025080400000000001001&page=10&scale=78";"data/raw/images/correo/2025/08/04/correo_2025-08-04_10.jpg"
"3";"correo";"2020";"front";"80";2020-08-03;"default";1;"https://t.prcdn.co/img?file=eagb2020080300000000001001&page=1&scale=80";"https://t.prcdn.co/img?file=eagb2020080300000000001001&page=1&scale=80";"data/raw/images/correo/2020/08/03/correo_2020-08-03_1.jpg"
"4";"correo";"2018";"front";NA;2018-03-19;"default";1;NA;NA;NA
"5";"correo";"2022";"back";"78";2022-11-23;"default";20;"https://t.prcdn.co/img?file=eagb2022112300000000001001&page=20&scale=78";"https://t.prcdn.co/img?file=eagb2022112300000000001001&page=20&scale=78";"data/raw/images/correo/2022/11/23/correo_2022-11-23_20.jpg"
"6";"correo";"2021";"back";"80";2021-05-03;"default";20;"https://t.prcdn.co/img?file=eagb2021050300000000001001&page=20&scale=80";"https://t.prcdn.co/img?file=eagb2021050300000000001001&page=20&scale=80";"data/raw/images/correo/2021/05/03/correo_2021-05-03_20.jpg"
"7";"correo";"2016";"interior";NA;2016-10-11;"default";16;NA;NA;NA
"8";"correo";"2021";"interior";"80";2021-04-23;"default";3;"https://t.prcdn.co/img?file=eagb2021042300000000001001&page=3&scale=80";"https://t.prcdn.co/img?file=eagb2021042300000000001001&page=3&scale=80";"data/raw/images/correo/2021/04/23/correo_2021-04-23_3.jpg"
"9";"correo";"2015";"front";NA;2015-09-11;"default";1;NA;NA;NA
"10";"correo";"2022";"interior";"78";2022-11-05;"default";5;"https://t.prcdn.co/img?file=eagb2022110500000000001001&page=5&scale=78";"https://t.prcdn.co/img?file=eagb2022110500000000001001&page=5&scale=78";"data/raw/images/correo/2022/11/05/correo_2022-11-05_5.jpg"
