newspaper,date,edition,page_number,scale,year
publimetro,2018-02-02,default,7,NA,2018
publimetro,2018-02-02,default,12,NA,2018
publimetro,2018-02-02,default,2,NA,2018
publimetro,2018-02-02,default,16,NA,2018
publimetro,2018-02-02,default,1,NA,2018
publimetro,2018-02-02,default,11,NA,2018
publimetro,2018-02-02,default,15,NA,2018
publimetro,2018-02-02,default,4,NA,2018
publimetro,2018-02-02,default,6,NA,2018
publimetro,2018-02-02,default,9,NA,2018
publimetro,2018-02-02,default,8,NA,2018
publimetro,2018-02-02,default,14,NA,2018
publimetro,2018-02-02,default,13,NA,2018
publimetro,2018-02-02,default,3,NA,2018
publimetro,2018-02-02,default,10,NA,2018
publimetro,2018-02-02,default,5,NA,2018
publimetro,2018-02-05,default,6,NA,2018
publimetro,2018-02-05,default,14,NA,2018
publimetro,2018-02-05,default,10,NA,2018
publimetro,2018-02-05,default,1,NA,2018
publimetro,2018-02-05,default,16,NA,2018
publimetro,2018-02-05,default,11,NA,2018
publimetro,2018-02-05,default,8,NA,2018
publimetro,2018-02-05,default,5,NA,2018
publimetro,2018-02-05,default,3,NA,2018
publimetro,2018-02-05,default,7,NA,2018
publimetro,2018-02-05,default,13,NA,2018
publimetro,2018-02-05,default,12,NA,2018
publimetro,2018-02-05,default,2,NA,2018
publimetro,2018-02-05,default,4,NA,2018
publimetro,2018-02-05,default,15,NA,2018
publimetro,2018-02-05,default,9,NA,2018
publimetro,2018-02-08,default,8,NA,2018
publimetro,2018-02-08,default,6,NA,2018
publimetro,2018-02-08,default,5,NA,2018
publimetro,2018-02-08,default,7,NA,2018
publimetro,2018-02-08,default,10,NA,2018
publimetro,2018-02-08,default,16,NA,2018
publimetro,2018-02-08,default,15,NA,2018
publimetro,2018-02-08,default,4,NA,2018
publimetro,2018-02-08,default,12,NA,2018
publimetro,2018-02-08,default,2,NA,2018
publimetro,2018-02-08,default,9,NA,2018
publimetro,2018-02-08,default,11,NA,2018
publimetro,2018-02-08,default,13,NA,2018
publimetro,2018-02-08,default,1,NA,2018
publimetro,2018-02-08,default,14,NA,2018
publimetro,2018-02-08,default,3,NA,2018
publimetro,2018-02-21,default,13,NA,2018
publimetro,2018-02-21,default,6,NA,2018
publimetro,2018-02-21,default,7,NA,2018
publimetro,2018-02-21,default,5,NA,2018
publimetro,2018-02-21,default,8,NA,2018
publimetro,2018-02-21,default,11,NA,2018
publimetro,2018-02-21,default,9,NA,2018
publimetro,2018-02-21,default,14,NA,2018
publimetro,2018-02-21,default,4,NA,2018
publimetro,2018-02-21,default,16,NA,2018
publimetro,2018-02-21,default,15,NA,2018
publimetro,2018-02-21,default,2,NA,2018
publimetro,2018-02-21,default,3,NA,2018
publimetro,2018-02-21,default,1,NA,2018
publimetro,2018-02-21,default,10,NA,2018
publimetro,2018-02-21,default,12,NA,2018
publimetro,2018-02-27,default,6,NA,2018
publimetro,2018-02-27,default,1,NA,2018
publimetro,2018-02-27,default,5,NA,2018
publimetro,2018-02-27,default,8,NA,2018
publimetro,2018-02-27,default,13,NA,2018
publimetro,2018-02-27,default,14,NA,2018
publimetro,2018-02-27,default,9,NA,2018
publimetro,2018-02-27,default,2,NA,2018
publimetro,2018-02-27,default,7,NA,2018
publimetro,2018-02-27,default,3,NA,2018
publimetro,2018-02-27,default,10,NA,2018
publimetro,2018-02-27,default,16,NA,2018
publimetro,2018-02-27,default,11,NA,2018
publimetro,2018-02-27,default,12,NA,2018
publimetro,2018-02-27,default,15,NA,2018
publimetro,2018-02-27,default,4,NA,2018
publimetro,2018-02-19,default,10,NA,2018
publimetro,2018-02-19,default,12,NA,2018
publimetro,2018-02-19,default,1,NA,2018
publimetro,2018-02-19,default,5,NA,2018
publimetro,2018-02-19,default,3,NA,2018
publimetro,2018-02-19,default,13,NA,2018
publimetro,2018-02-19,default,6,NA,2018
publimetro,2018-02-19,default,11,NA,2018
publimetro,2018-02-19,default,14,NA,2018
publimetro,2018-02-19,default,7,NA,2018
publimetro,2018-02-19,default,8,NA,2018
publimetro,2018-02-19,default,2,NA,2018
publimetro,2018-02-19,default,15,NA,2018
publimetro,2018-02-19,default,9,NA,2018
publimetro,2018-02-19,default,4,NA,2018
publimetro,2018-02-19,default,16,NA,2018
publimetro,2018-02-14,default,13,NA,2018
publimetro,2018-02-14,default,7,NA,2018
publimetro,2018-02-14,default,11,NA,2018
publimetro,2018-02-14,default,14,NA,2018
publimetro,2018-02-14,default,3,NA,2018
publimetro,2018-02-14,default,9,NA,2018
publimetro,2018-02-14,default,6,NA,2018
publimetro,2018-02-14,default,2,NA,2018
publimetro,2018-02-14,default,10,NA,2018
publimetro,2018-02-14,default,5,NA,2018
publimetro,2018-02-14,default,15,NA,2018
publimetro,2018-02-14,default,16,NA,2018
publimetro,2018-02-14,default,8,NA,2018
publimetro,2018-02-14,default,4,NA,2018
publimetro,2018-02-14,default,12,NA,2018
publimetro,2018-02-14,default,1,NA,2018
publimetro,2018-02-01,default,12,NA,2018
publimetro,2018-02-01,default,16,NA,2018
publimetro,2018-02-01,default,4,NA,2018
publimetro,2018-02-01,default,13,NA,2018
publimetro,2018-02-01,default,6,NA,2018
publimetro,2018-02-01,default,3,NA,2018
publimetro,2018-02-01,default,9,NA,2018
publimetro,2018-02-01,default,14,NA,2018
publimetro,2018-02-01,default,1,NA,2018
publimetro,2018-02-01,default,5,NA,2018
publimetro,2018-02-01,default,7,NA,2018
publimetro,2018-02-01,default,8,NA,2018
publimetro,2018-02-01,default,10,NA,2018
publimetro,2018-02-01,default,15,NA,2018
publimetro,2018-02-01,default,11,NA,2018
publimetro,2018-02-01,default,2,NA,2018
publimetro,2018-02-09,default,6,NA,2018
publimetro,2018-02-09,default,12,NA,2018
publimetro,2018-02-09,default,1,NA,2018
publimetro,2018-02-09,default,2,NA,2018
publimetro,2018-02-09,default,3,NA,2018
publimetro,2018-02-09,default,14,NA,2018
publimetro,2018-02-09,default,7,NA,2018
publimetro,2018-02-09,default,13,NA,2018
publimetro,2018-02-09,default,15,NA,2018
publimetro,2018-02-09,default,16,NA,2018
publimetro,2018-02-09,default,4,NA,2018
publimetro,2018-02-09,default,8,NA,2018
publimetro,2018-02-09,default,11,NA,2018
publimetro,2018-02-09,default,5,NA,2018
publimetro,2018-02-09,default,10,NA,2018
publimetro,2018-02-09,default,9,NA,2018
publimetro,2018-02-07,default,16,NA,2018
publimetro,2018-02-07,default,10,NA,2018
publimetro,2018-02-07,default,1,NA,2018
publimetro,2018-02-07,default,9,NA,2018
publimetro,2018-02-07,default,12,NA,2018
publimetro,2018-02-07,default,2,NA,2018
publimetro,2018-02-07,default,7,NA,2018
publimetro,2018-02-07,default,11,NA,2018
publimetro,2018-02-07,default,6,NA,2018
publimetro,2018-02-07,default,4,NA,2018
publimetro,2018-02-07,default,15,NA,2018
publimetro,2018-02-07,default,14,NA,2018
publimetro,2018-02-07,default,8,NA,2018
publimetro,2018-02-07,default,5,NA,2018
publimetro,2018-02-07,default,13,NA,2018
publimetro,2018-02-07,default,3,NA,2018
publimetro,2018-02-23,default,9,NA,2018
publimetro,2018-02-23,default,5,NA,2018
publimetro,2018-02-23,default,10,NA,2018
publimetro,2018-02-23,default,4,NA,2018
publimetro,2018-02-23,default,7,NA,2018
publimetro,2018-02-23,default,14,NA,2018
publimetro,2018-02-23,default,11,NA,2018
publimetro,2018-02-23,default,13,NA,2018
publimetro,2018-02-23,default,16,NA,2018
publimetro,2018-02-23,default,1,NA,2018
publimetro,2018-02-23,default,12,NA,2018
publimetro,2018-02-23,default,6,NA,2018
publimetro,2018-02-23,default,8,NA,2018
publimetro,2018-02-23,default,2,NA,2018
publimetro,2018-02-23,default,3,NA,2018
publimetro,2018-02-23,default,15,NA,2018
publimetro,2018-02-26,default,16,NA,2018
publimetro,2018-02-26,default,3,NA,2018
publimetro,2018-02-26,default,13,NA,2018
publimetro,2018-02-26,default,6,NA,2018
publimetro,2018-02-26,default,15,NA,2018
publimetro,2018-02-26,default,7,NA,2018
publimetro,2018-02-26,default,11,NA,2018
publimetro,2018-02-26,default,4,NA,2018
publimetro,2018-02-26,default,8,NA,2018
publimetro,2018-02-26,default,12,NA,2018
publimetro,2018-02-26,default,10,NA,2018
publimetro,2018-02-26,default,1,NA,2018
publimetro,2018-02-26,default,5,NA,2018
publimetro,2018-02-26,default,14,NA,2018
publimetro,2018-02-26,default,2,NA,2018
publimetro,2018-02-26,default,9,NA,2018
publimetro,2018-02-29,default,4,NA,2018
publimetro,2018-02-29,default,14,NA,2018
publimetro,2018-02-29,default,10,NA,2018
publimetro,2018-02-29,default,7,NA,2018
publimetro,2018-02-29,default,16,NA,2018
publimetro,2018-02-29,default,5,NA,2018
publimetro,2018-02-29,default,12,NA,2018
publimetro,2018-02-29,default,8,NA,2018
publimetro,2018-02-29,default,11,NA,2018
publimetro,2018-02-29,default,2,NA,2018
publimetro,2018-02-29,default,9,NA,2018
publimetro,2018-02-29,default,1,NA,2018
publimetro,2018-02-29,default,3,NA,2018
publimetro,2018-02-29,default,13,NA,2018
publimetro,2018-02-29,default,6,NA,2018
publimetro,2018-02-29,default,15,NA,2018
publimetro,2018-02-13,default,19,NA,2018
publimetro,2018-02-13,default,10,NA,2018
publimetro,2018-02-13,default,1,NA,2018
publimetro,2018-02-13,default,12,NA,2018
publimetro,2018-02-13,default,8,NA,2018
publimetro,2018-02-13,default,11,NA,2018
publimetro,2018-02-13,default,15,NA,2018
publimetro,2018-02-13,default,20,NA,2018
publimetro,2018-02-13,default,2,NA,2018
publimetro,2018-02-13,default,6,NA,2018
publimetro,2018-02-13,default,9,NA,2018
