newspaper,date,edition,page_number,page_url,image_url,image_path
gestion,2013-01-02,default,1,,,./data/raw/images/gestion/2013/01/02/gestion_2013-01-02_1.jpg
gestion,2013-05-17,default,10,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_10.jpg
gestion,2013-05-17,default,11,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_11.jpg
gestion,2013-05-17,default,12,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_12.jpg
gestion,2013-05-17,default,13,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_13.jpg
gestion,2013-05-17,default,14,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_14.jpg
gestion,2013-05-17,default,15,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_15.jpg
gestion,2013-05-17,default,16,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_16.jpg
gestion,2013-05-17,default,17,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_17.jpg
gestion,2013-05-17,default,18,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_18.jpg
gestion,2013-05-17,default,19,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_19.jpg
gestion,2013-05-17,default,1,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_1.jpg
gestion,2013-05-17,default,20,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_20.jpg
gestion,2013-05-17,default,21,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_21.jpg
gestion,2013-05-17,default,22,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_22.jpg
gestion,2013-05-17,default,23,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_23.jpg
gestion,2013-05-17,default,24,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_24.jpg
gestion,2013-05-17,default,25,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_25.jpg
gestion,2013-05-17,default,26,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_26.jpg
gestion,2013-05-17,default,27,,,./data/raw/images/gestion/2013/05/17/gestion_2013-05-17_27.jpg
