newspaper,date,edition,page_number,page_url,image_url,image_path
ojo,2015-02-04,default,10,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_10.jpg
ojo,2015-02-04,default,11,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_11.jpg
ojo,2015-02-04,default,12,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_12.jpg
ojo,2015-02-04,default,13,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_13.jpg
ojo,2015-02-04,default,14,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_14.jpg
ojo,2015-02-04,default,15,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_15.jpg
ojo,2015-02-04,default,16,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_16.jpg
ojo,2015-02-04,default,17,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_17.jpg
ojo,2015-02-04,default,18,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_18.jpg
ojo,2015-02-04,default,19,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_19.jpg
ojo,2015-02-04,default,1,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_1.jpg
ojo,2015-02-04,default,20,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_20.jpg
ojo,2015-02-04,default,21,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_21.jpg
ojo,2015-02-04,default,22,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_22.jpg
ojo,2015-02-04,default,23,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_23.jpg
ojo,2015-02-04,default,24,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_24.jpg
ojo,2015-02-04,default,2,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_2.jpg
ojo,2015-02-04,default,3,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_3.jpg
ojo,2015-02-04,default,4,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_4.jpg
ojo,2015-02-04,default,5,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_5.jpg
ojo,2015-02-04,default,6,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_6.jpg
ojo,2015-02-04,default,7,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_7.jpg
ojo,2015-02-04,default,8,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_8.jpg
ojo,2015-02-04,default,9,,,./data/raw/images/ojo/2015/02/04/ojo_2015-02-04_9.jpg
ojo,2015-02-05,default,10,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_10.jpg
ojo,2015-02-05,default,11,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_11.jpg
ojo,2015-02-05,default,12,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_12.jpg
ojo,2015-02-05,default,13,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_13.jpg
ojo,2015-02-05,default,14,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_14.jpg
ojo,2015-02-05,default,15,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_15.jpg
ojo,2015-02-05,default,16,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_16.jpg
ojo,2015-02-05,default,17,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_17.jpg
ojo,2015-02-05,default,18,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_18.jpg
ojo,2015-02-05,default,19,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_19.jpg
ojo,2015-02-05,default,1,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_1.jpg
ojo,2015-02-05,default,20,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_20.jpg
ojo,2015-02-05,default,21,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_21.jpg
ojo,2015-02-05,default,22,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_22.jpg
ojo,2015-02-05,default,23,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_23.jpg
ojo,2015-02-05,default,24,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_24.jpg
ojo,2015-02-05,default,2,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_2.jpg
ojo,2015-02-05,default,3,,,./data/raw/images/ojo/2015/02/05/ojo_2015-02-05_3.jpg
